Bestellnummer,Aktivitaet,Timestamp,Station
ORD-10022,Kommissionierung beendet,2025-09-24 17:53:22,Lagerhalle A
ORD-10022,Verpacken und Labeldruck,2025-09-24 19:10:22,Packtisch 3
ORD-10022,Versandübergabe,2025-09-24 21:10:22,Rampe 1
ORD-10023,Wareneingang im LVS,2025-09-04 13:42:13,Server
ORD-10023,Kommissionierung gestartet,2025-09-06 12:42:13,Lagerhalle A
ORD-10023,Kommissionierung beendet,2025-09-06 13:20:13,Lagerhalle A
ORD-10023,Verpacken und Labeldruck,2025-09-06 13:31:13,Packtisch 3
ORD-10023,Versandübergabe,2025-09-06 16:31:13,Rampe 1
ORD-10024,Wareneingang im LVS,2025-09-16 11:34:28,Server
ORD-10024,Kommissionierung gestartet,2025-09-17 22:34:28,Lagerhalle A
ORD-10024,Kommissionierung beendet,2025-09-17 23:13:28,Lagerhalle A
ORD-10024,Verpacken und Labeldruck,2025-09-18 00:03:28,Packtisch 3
ORD-10024,Versandübergabe,2025-09-18 04:03:28,Rampe 1
ORD-10025,Wareneingang im LVS,2025-09-21 18:21:34,Server
ORD-10025,Kommissionierung gestartet,2025-09-21 20:21:34,Lagerhalle A
ORD-10025,Kommissionierung beendet,2025-09-21 20:39:34,Lagerhalle A
ORD-10025,Verpacken und Labeldruck,2025-09-21 22:28:34,Packtisch 3
ORD-10025,Versandübergabe,2025-09-21 23:28:34,Rampe 1
ORD-10026,Wareneingang im LVS,2025-09-24 13:51:53,Server
ORD-10026,Kommissionierung gestartet,2025-09-26 08:51:53,Lagerhalle A
ORD-10026,Kommissionierung beendet,2025-09-26 09:13:53,Lagerhalle A
ORD-10026,Verpacken und Labeldruck,2025-09-26 10:09:53,Packtisch 3
ORD-10026,Versandübergabe,2025-09-26 11:09:53,Rampe 1
ORD-10027,Wareneingang im LVS,2025-10-05 11:08:35,Server
ORD-10027,Kommissionierung gestartet,2025-10-06 21:08:35,Lagerhalle A
ORD-10027,Kommissionierung beendet,2025-10-06 21:49:35,Lagerhalle A
ORD-10027,Verpacken und Labeldruck,2025-10-06 23:28:35,Packtisch 3
ORD-10027,Versandübergabe,2025-10-07 02:28:35,Rampe 1
ORD-10028,Wareneingang im LVS,2025-09-15 19:13:50,Server
ORD-10028,Kommissionierung gestartet,2025-09-17 04:13:50,Lagerhalle A
ORD-10028,Kommissionierung beendet,2025-09-17 04:53:50,Lagerhalle A
ORD-10028,Verpacken und Labeldruck,2025-09-17 05:50:50,Packtisch 3
ORD-10028,Versandübergabe,2025-09-17 09:50:50,Rampe 1
ORD-10029,Wareneingang im LVS,2025-10-09 14:04:31,Server
ORD-10029,Kommissionierung gestartet,2025-10-09 17:04:31,Lagerhalle A
ORD-10029,Kommissionierung beendet,2025-10-09 17:32:31,Lagerhalle A
ORD-10029,Verpacken und Labeldruck,2025-10-09 18:11:31,Packtisch 3
ORD-10029,Versandübergabe,2025-10-09 20:11:31,Rampe 1
ORD-10030,Wareneingang im LVS,2025-10-14 11:19:50,Server
ORD-10030,Kommissionierung gestartet,2025-10-16 01:19:50,Lagerhalle A
ORD-10030,Kommissionierung beendet,2025-10-16 02:01:50,Lagerhalle A
ORD-10030,Verpacken und Labeldruck,2025-10-16 04:00:50,Packtisch 3
ORD-10030,Versandübergabe,2025-10-16 05:00:50,Rampe 1
ORD-10031,Wareneingang im LVS,2025-09-28 10:05:28,Server
ORD-10031,Kommissionierung gestartet,2025-09-28 16:05:28,Lagerhalle A
ORD-10031,Kommissionierung beendet,2025-09-28 16:25:28,Lagerhalle A
ORD-10031,Verpacken und Labeldruck,2025-09-28 17:51:28,Packtisch 3
ORD-10031,Versandübergabe,2025-09-28 19:51:28,Rampe 1
ORD-10032,Wareneingang im LVS,2025-10-30 19:18:41,Server
ORD-10032,Kommissionierung gestartet,2025-11-01 15:18:41,Lagerhalle A
ORD-10032,Kommissionierung beendet,2025-11-01 15:39:41,Lagerhalle A
ORD-10032,Verpacken und Labeldruck,2025-11-01 16:56:41,Packtisch 3
ORD-10032,Versandübergabe,2025-11-01 19:56:41,Rampe 1
ORD-10033,Wareneingang im LVS,2025-10-15 04:19:28,Server
ORD-10033,Kommissionierung gestartet,2025-10-15 23:19:28,Lagerhalle A
ORD-10033,Kommissionierung beendet,2025-10-15 23:52:28,Lagerhalle A
ORD-10033,Verpacken und Labeldruck,2025-10-16 00:36:28,Packtisch 3
ORD-10033,Versandübergabe,2025-10-16 03:36:28,Rampe 1
ORD-10034,Wareneingang im LVS,2025-10-13 18:16:39,Server
ORD-10034,Kommissionierung gestartet,2025-10-15 06:16:39,Lagerhalle A
ORD-10034,Kommissionierung beendet,2025-10-15 06:40:39,Lagerhalle A
ORD-10034,Verpacken und Labeldruck,2025-10-15 07:13:39,Packtisch 3
ORD-10034,Versandübergabe,2025-10-15 10:13:39,Rampe 1
ORD-10035,Wareneingang im LVS,2025-10-15 19:06:27,Server
ORD-10035,Kommissionierung gestartet,2025-10-16 00:06:27,Lagerhalle A
ORD-10035,Kommissionierung beendet,2025-10-16 00:23:27,Lagerhalle A
ORD-10035,Verpacken und Labeldruck,2025-10-16 01:42:27,Packtisch 3
ORD-10035,Versandübergabe,2025-10-16 05:42:27,Rampe 1
ORD-10036,Wareneingang im LVS,2025-10-15 08:36:46,Server
ORD-10036,Kommissionierung gestartet,2025-10-16 10:36:46,Lagerhalle A
ORD-10036,Kommissionierung beendet,2025-10-16 11:07:46,Lagerhalle A
ORD-10036,Verpacken und Labeldruck,2025-10-16 12:46:46,Packtisch 3
ORD-10036,Versandübergabe,2025-10-16 15:46:46,Rampe 1
ORD-10037,Wareneingang im LVS,2025-10-30 19:41:33,Server
ORD-10037,Kommissionierung gestartet,2025-11-01 19:41:33,Lagerhalle A
ORD-10037,Kommissionierung beendet,2025-11-01 19:57:33,Lagerhalle A
ORD-10037,Verpacken und Labeldruck,2025-11-01 20:28:33,Packtisch 3
ORD-10037,Versandübergabe,2025-11-01 22:28:33,Rampe 1
ORD-10038,Wareneingang im LVS,2025-10-30 12:26:58,Server
ORD-10038,Kommissionierung gestartet,2025-10-31 15:26:58,Lagerhalle A
ORD-10038,Kommissionierung beendet,2025-10-31 16:03:58,Lagerhalle A
ORD-10038,Verpacken und Labeldruck,2025-10-31 16:32:58,Packtisch 3
ORD-10038,Versandübergabe,2025-10-31 17:32:58,Rampe 1
ORD-10039,Wareneingang im LVS,2025-10-10 12:02:40,Server
ORD-10039,Kommissionierung gestartet,2025-10-12 10:02:40,Lagerhalle A
ORD-10039,Kommissionierung beendet,2025-10-12 10:37:40,Lagerhalle A
ORD-10039,Verpacken und Labeldruck,2025-10-12 11:19:40,Packtisch 3
ORD-10039,Versandübergabe,2025-10-12 13:19:40,Rampe 1
ORD-10040,Wareneingang im LVS,2025-09-08 11:30:33,Server
ORD-10040,Kommissionierung gestartet,2025-09-09 23:30:33,Lagerhalle A
ORD-10040,Kommissionierung beendet,2025-09-10 00:10:33,Lagerhalle A
ORD-10040,Verpacken und Labeldruck,2025-09-10 01:27:33,Packtisch 3
ORD-10040,Versandübergabe,2025-09-10 02:27:33,Rampe 1
ORD-10041,Wareneingang im LVS,2025-09-14 14:52:01,Server
ORD-10041,Kommissionierung gestartet,2025-09-15 10:52:01,Lagerhalle A
ORD-10041,Kommissionierung beendet,2025-09-15 11:17:01,Lagerhalle A
ORD-10041,Verpacken und Labeldruck,2025-09-15 12:13:01,Packtisch 3
ORD-10041,Versandübergabe,2025-09-15 13:13:01,Rampe 1
ORD-10042,Wareneingang im LVS,2025-09-06 15:26:10,Server
ORD-10042,Kommissionierung gestartet,2025-09-08 11:26:10,Lagerhalle A
ORD-10042,Kommissionierung beendet,2025-09-08 11:56:10,Lagerhalle A
ORD-10042,Verpacken und Labeldruck,2025-09-08 13:28:10,Packtisch 3
ORD-10042,Versandübergabe,2025-09-08 15:28:10,Rampe 1
ORD-10043,Wareneingang im LVS,2025-10-08 13:52:47,Server
ORD-10043,Kommissionierung gestartet,2025-10-10 12:52:47,Lagerhalle A
ORD-10043,Kommissionierung beendet,2025-10-10 13:19:47,Lagerhalle A
ORD-10043,Verpacken und Labeldruck,2025-10-10 13:50:47,Packtisch 3
ORD-10043,Versandübergabe,2025-10-10 15:50:47,Rampe 1
ORD-10044,Wareneingang im LVS,2025-09-21 16:36:19,Server
ORD-10044,Kommissionierung gestartet,2025-09-22 06:36:19,Lagerhalle A
ORD-10044,Kommissionierung beendet,2025-09-22 06:57:19,Lagerhalle A
ORD-10044,Verpacken und Labeldruck,2025-09-22 08:09:19,Packtisch 3
ORD-10044,Versandübergabe,2025-09-22 11:09:19,Rampe 1
ORD-10045,Wareneingang im LVS,2025-10-07 09:47:54,Server
ORD-10045,Kommissionierung gestartet,2025-10-08 11:47:54,Lagerhalle A
ORD-10045,Kommissionierung beendet,2025-10-08 12:09:54,Lagerhalle A
ORD-10045,Verpacken und Labeldruck,2025-10-08 13:25:54,Packtisch 3
ORD-10045,Versandübergabe,2025-10-08 17:25:54,Rampe 1
ORD-10046,Wareneingang im LVS,2025-10-30 11:26:18,Server
ORD-10046,Kommissionierung gestartet,2025-10-30 20:26:18,Lagerhalle A
ORD-10046,Kommissionierung beendet,2025-10-30 21:09:18,Lagerhalle A
ORD-10046,Verpacken und Labeldruck,2025-10-30 22:26:18,Packtisch 3
ORD-10046,Versandübergabe,2025-10-30 23:26:18,Rampe 1
ORD-10047,Wareneingang im LVS,2025-09-27 09:45:59,Server
ORD-10047,Kommissionierung gestartet,2025-09-28 00:45:59,Lagerhalle A
ORD-10047,Kommissionierung beendet,2025-09-28 01:14:59,Lagerhalle A
ORD-10047,Verpacken und Labeldruck,2025-09-28 01:33:59,Packtisch 3
ORD-10047,Versandübergabe,2025-09-28 03:33:59,Rampe 1
ORD-10048,Wareneingang im LVS,2025-10-13 13:27:55,Server
ORD-10048,Kommissionierung gestartet,2025-10-13 18:27:55,Lagerhalle A
ORD-10048,Kommissionierung beendet,2025-10-13 18:45:55,Lagerhalle A
ORD-10048,Verpacken und Labeldruck,2025-10-13 19:25:55,Packtisch 3
ORD-10048,Versandübergabe,2025-10-13 22:25:55,Rampe 1
ORD-10049,Wareneingang im LVS,2025-10-22 12:24:41,Server
ORD-10049,Kommissionierung gestartet,2025-10-23 23:24:41,Lagerhalle A
ORD-10049,Kommissionierung beendet,2025-10-23 23:55:41,Lagerhalle A
ORD-10049,Verpacken und Labeldruck,2025-10-24 01:06:41,Packtisch 3
ORD-10049,Versandübergabe,2025-10-24 05:06:41,Rampe 1
ORD-10050,Wareneingang im LVS,2025-09-27 17:36:56,Server
ORD-10050,Kommissionierung gestartet,2025-09-27 21:36:56,Lagerhalle A
ORD-10050,Kommissionierung beendet,2025-09-27 22:07:56,Lagerhalle A
ORD-10050,Verpacken und Labeldruck,2025-09-27 23:16:56,Packtisch 3
ORD-10050,Versandübergabe,2025-09-28 00:16:56,Rampe 1
ORD-10051,Wareneingang im LVS,2025-10-11 12:35:37,Server
ORD-10051,Kommissionierung gestartet,2025-10-12 00:35:37,Lagerhalle A
ORD-10051,Kommissionierung beendet,2025-10-12 01:14:37,Lagerhalle A
ORD-10051,Verpacken und Labeldruck,2025-10-12 02:26:37,Packtisch 3
ORD-10051,Versandübergabe,2025-10-12 04:26:37,Rampe 1
ORD-10052,Wareneingang im LVS,2025-10-31 10:04:53,Server
ORD-10052,Kommissionierung gestartet,2025-11-01 11:04:53,Lagerhalle A
ORD-10052,Kommissionierung beendet,2025-11-01 11:24:53,Lagerhalle A
ORD-10052,Verpacken und Labeldruck,2025-11-01 11:35:53,Packtisch 3
ORD-10052,Versandübergabe,2025-11-01 13:35:53,Rampe 1
ORD-10053,Wareneingang im LVS,2025-09-14 19:02:19,Server
ORD-10053,Kommissionierung gestartet,2025-09-16 17:02:19,Lagerhalle A
ORD-10053,Kommissionierung beendet,2025-09-16 17:39:19,Lagerhalle A
ORD-10053,Verpacken und Labeldruck,2025-09-16 18:27:19,Packtisch 3
ORD-10053,Versandübergabe,2025-09-16 19:27:19,Rampe 1
ORD-10054,Wareneingang im LVS,2025-09-26 11:34:08,Server
ORD-10054,Kommissionierung gestartet,2025-09-27 20:34:08,Lagerhalle A
ORD-10054,Kommissionierung beendet,2025-09-27 21:18:08,Lagerhalle A
ORD-10054,Verpacken und Labeldruck,2025-09-27 22:27:08,Packtisch 3
ORD-10054,Versandübergabe,2025-09-28 00:27:08,Rampe 1
ORD-10055,Wareneingang im LVS,2025-10-05 19:35:57,Server
ORD-10055,Kommissionierung gestartet,2025-10-07 16:35:57,Lagerhalle A
ORD-10055,Kommissionierung beendet,2025-10-07 16:52:57,Lagerhalle A
ORD-10055,Verpacken und Labeldruck,2025-10-07 17:18:57,Packtisch 3
ORD-10055,Versandübergabe,2025-10-07 21:18:57,Rampe 1
ORD-10056,Wareneingang im LVS,2025-09-20 22:44:30,Server
ORD-10056,Kommissionierung gestartet,2025-09-21 19:44:30,Lagerhalle A
ORD-10056,Kommissionierung beendet,2025-09-21 20:00:30,Lagerhalle A
ORD-10056,Verpacken und Labeldruck,2025-09-21 21:51:30,Packtisch 3
ORD-10056,Versandübergabe,2025-09-21 23:51:30,Rampe 1
ORD-10057,Wareneingang im LVS,2025-10-02 17:56:13,Server
ORD-10057,Kommissionierung gestartet,2025-10-02 19:56:13,Lagerhalle A
ORD-10057,Kommissionierung beendet,2025-10-02 20:12:13,Lagerhalle A
ORD-10057,Verpacken und Labeldruck,2025-10-02 21:43:13,Packtisch 3
ORD-10057,Versandübergabe,2025-10-03 01:43:13,Rampe 1
ORD-10058,Wareneingang im LVS,2025-09-26 19:08:21,Server
ORD-10058,Kommissionierung gestartet,2025-09-28 18:08:21,Lagerhalle A
ORD-10058,Kommissionierung beendet,2025-09-28 18:24:21,Lagerhalle A
ORD-10058,Verpacken und Labeldruck,2025-09-28 19:46:21,Packtisch 3
ORD-10058,Versandübergabe,2025-09-28 22:46:21,Rampe 1
ORD-10059,Wareneingang im LVS,2025-10-25 15:28:49,Server
ORD-10059,Kommissionierung gestartet,2025-10-26 22:28:49,Lagerhalle A
ORD-10059,Kommissionierung beendet,2025-10-26 22:52:49,Lagerhalle A
ORD-10059,Verpacken und Labeldruck,2025-10-27 00:20:49,Packtisch 3
ORD-10059,Versandübergabe,2025-10-27 01:20:49,Rampe 1
ORD-10060,Wareneingang im LVS,2025-10-03 12:51:47,Server
ORD-10060,Kommissionierung gestartet,2025-10-05 11:51:47,Lagerhalle A
ORD-10060,Kommissionierung beendet,2025-10-05 12:25:47,Lagerhalle A
ORD-10060,Verpacken und Labeldruck,2025-10-05 13:59:47,Packtisch 3
ORD-10060,Versandübergabe,2025-10-05 14:59:47,Rampe 1
ORD-10061,Wareneingang im LVS,2025-10-18 19:22:48,Server
ORD-10061,Kommissionierung gestartet,2025-10-20 01:22:48,Lagerhalle A
ORD-10061,Kommissionierung beendet,2025-10-20 02:01:48,Lagerhalle A
ORD-10061,Verpacken und Labeldruck,2025-10-20 03:49:48,Packtisch 3
ORD-10061,Versandübergabe,2025-10-20 07:49:48,Rampe 1
ORD-10062,Wareneingang im LVS,2025-09-30 10:51:12,Server
ORD-10062,Kommissionierung gestartet,2025-10-01 11:51:12,Lagerhalle A
ORD-10062,Kommissionierung beendet,2025-10-01 12:06:12,Lagerhalle A
ORD-10062,Verpacken und Labeldruck,2025-10-01 12:23:12,Packtisch 3
ORD-10062,Versandübergabe,2025-10-01 14:23:12,Rampe 1
ORD-10063,Wareneingang im LVS,2025-09-06 19:03:46,Server
ORD-10063,Kommissionierung gestartet,2025-09-07 09:03:46,Lagerhalle A
ORD-10063,Kommissionierung beendet,2025-09-07 09:27:46,Lagerhalle A
ORD-10063,Verpacken und Labeldruck,2025-09-07 11:07:46,Packtisch 3
ORD-10063,Versandübergabe,2025-09-07 15:07:46,Rampe 1
ORD-10064,Wareneingang im LVS,2025-09-20 16:36:34,Server
ORD-10064,Kommissionierung gestartet,2025-09-21 11:36:34,Lagerhalle A
ORD-10064,Kommissionierung beendet,2025-09-21 12:05:34,Lagerhalle A
ORD-10064,Verpacken und Labeldruck,2025-09-21 13:01:34,Packtisch 3
ORD-10064,Versandübergabe,2025-09-21 17:01:34,Rampe 1
ORD-10065,Wareneingang im LVS,2025-10-31 15:28:32,Server
ORD-10065,Kommissionierung gestartet,2025-11-01 16:28:32,Lagerhalle A
ORD-10065,Kommissionierung beendet,2025-11-01 16:45:32,Lagerhalle A
ORD-10065,Verpacken und Labeldruck,2025-11-01 18:21:32,Packtisch 3
ORD-10065,Versandübergabe,2025-11-01 21:21:32,Rampe 1
ORD-10066,Wareneingang im LVS,2025-09-22 16:07:52,Server
ORD-10066,Kommissionierung gestartet,2025-09-23 03:07:52,Lagerhalle A
ORD-10066,Kommissionierung beendet,2025-09-23 03:47:52,Lagerhalle A
ORD-10066,Verpacken und Labeldruck,2025-09-23 04:27:52,Packtisch 3
ORD-10066,Versandübergabe,2025-09-23 07:27:52,Rampe 1
ORD-10067,Wareneingang im LVS,2025-10-14 08:53:33,Server
ORD-10067,Kommissionierung gestartet,2025-10-14 14:53:33,Lagerhalle A
ORD-10067,Kommissionierung beendet,2025-10-14 15:16:33,Lagerhalle A
ORD-10067,Verpacken und Labeldruck,2025-10-14 16:46:33,Packtisch 3
ORD-10067,Versandübergabe,2025-10-14 18:46:33,Rampe 1
ORD-10068,Wareneingang im LVS,2025-10-12 11:05:56,Server
ORD-10068,Kommissionierung gestartet,2025-10-13 00:05:56,Lagerhalle A
ORD-10068,Kommissionierung beendet,2025-10-13 00:33:56,Lagerhalle A
ORD-10068,Verpacken und Labeldruck,2025-10-13 02:30:56,Packtisch 3
ORD-10068,Versandübergabe,2025-10-13 04:30:56,Rampe 1
ORD-10069,Wareneingang im LVS,2025-09-12 13:34:24,Server
ORD-10069,Kommissionierung gestartet,2025-09-13 08:34:24,Lagerhalle A
ORD-10069,Kommissionierung beendet,2025-09-13 09:02:24,Lagerhalle A
ORD-10069,Verpacken und Labeldruck,2025-09-13 10:11:24,Packtisch 3
ORD-10069,Versandübergabe,2025-09-13 13:11:24,Rampe 1
ORD-10070,Wareneingang im LVS,2025-10-21 18:43:59,Server
ORD-10070,Kommissionierung gestartet,2025-10-23 01:43:59,Lagerhalle A
ORD-10070,Kommissionierung beendet,2025-10-23 02:12:59,Lagerhalle A
ORD-10070,Verpacken und Labeldruck,2025-10-23 03:03:59,Packtisch 3
ORD-10070,Versandübergabe,2025-10-23 05:03:59,Rampe 1
ORD-10071,Wareneingang im LVS,2025-10-29 05:24:49,Server
ORD-10071,Kommissionierung gestartet,2025-10-30 06:24:49,Lagerhalle A
ORD-10071,Kommissionierung beendet,2025-10-30 06:41:49,Lagerhalle A
ORD-10071,Verpacken und Labeldruck,2025-10-30 07:07:49,Packtisch 3
ORD-10071,Versandübergabe,2025-10-30 09:07:49,Rampe 1
ORD-10072,Wareneingang im LVS,2025-09-17 14:17:00,Server
ORD-10072,Kommissionierung gestartet,2025-09-19 03:17:00,Lagerhalle A
ORD-10072,Kommissionierung beendet,2025-09-19 03:52:00,Lagerhalle A
ORD-10072,Verpacken und Labeldruck,2025-09-19 05:03:00,Packtisch 3
ORD-10072,Versandübergabe,2025-09-19 09:03:00,Rampe 1
ORD-10073,Wareneingang im LVS,2025-09-09 07:53:44,Server
ORD-10073,Kommissionierung gestartet,2025-09-09 23:53:44,Lagerhalle A
ORD-10073,Kommissionierung beendet,2025-09-10 00:34:44,Lagerhalle A
ORD-10073,Verpacken und Labeldruck,2025-09-10 02:20:44,Packtisch 3
ORD-10073,Versandübergabe,2025-09-10 05:20:44,Rampe 1
