Bestellnummer,Aktivitaet,Timestamp,User
ORD-10041,Bestellung eingegangen,2025-09-14 10:02:00,System
ORD-10041,Bonitätsprüfung automatisch,2025-09-14 10:08:00,System
ORD-10041,Bonitätsprüfung manuell,2025-09-14 14:08:00,Mitarbeiter_FiBu
ORD-10041,Bestellung freigegeben,2025-09-14 14:25:00,Mitarbeiter_FiBu
ORD-10041,Übermittlung an Lager,2025-09-14 14:51:00,System Interface
ORD-10042,Bestellung eingegangen,2025-09-06 15:09:00,System
ORD-10042,Bonitätsprüfung automatisch,2025-09-06 15:13:00,System
ORD-10042,Übermittlung an Lager,2025-09-06 15:25:00,System Interface
ORD-10043,Bestellung eingegangen,2025-10-08 13:29:00,System
ORD-10043,Bonitätsprüfung automatisch,2025-10-08 13:39:00,System
ORD-10043,Übermittlung an Lager,2025-10-08 13:51:00,System Interface
ORD-10044,Bestellung eingegangen,2025-09-21 15:51:00,System
ORD-10044,Bonitätsprüfung automatisch,2025-09-21 15:55:00,System
ORD-10044,Übermittlung an Lager,2025-09-21 16:35:00,System Interface
ORD-10045,Bestellung eingegangen,2025-10-06 13:18:00,System
ORD-10045,Bonitätsprüfung automatisch,2025-10-06 13:22:00,System
ORD-10045,Bonitätsprüfung manuell,2025-10-07 09:22:00,Mitarbeiter_FiBu
ORD-10045,Bestellung freigegeben,2025-10-07 09:40:00,Mitarbeiter_FiBu
ORD-10045,Übermittlung an Lager,2025-10-07 09:47:00,System Interface
ORD-10046,Bestellung eingegangen,2025-10-30 10:48:00,System
ORD-10046,Bonitätsprüfung automatisch,2025-10-30 10:54:00,System
ORD-10046,Übermittlung an Lager,2025-10-30 11:25:00,System Interface
ORD-10047,Bestellung eingegangen,2025-09-27 09:01:00,System
ORD-10047,Bonitätsprüfung automatisch,2025-09-27 09:02:00,System
ORD-10047,Übermittlung an Lager,2025-09-27 09:45:00,System Interface
ORD-10048,Bestellung eingegangen,2025-10-13 13:07:00,System
ORD-10048,Bonitätsprüfung automatisch,2025-10-13 13:12:00,System
ORD-10048,Übermittlung an Lager,2025-10-13 13:26:00,System Interface
ORD-10049,Bestellung eingegangen,2025-10-22 11:37:00,System
ORD-10049,Bonitätsprüfung automatisch,2025-10-22 11:47:00,System
ORD-10049,Übermittlung an Lager,2025-10-22 12:23:00,System Interface
ORD-10050,Bestellung eingegangen,2025-09-27 16:29:00,System
ORD-10050,Bonitätsprüfung automatisch,2025-09-27 16:37:00,System
ORD-10050,Übermittlung an Lager,2025-09-27 17:36:00,System Interface
ORD-10051,Bestellung eingegangen,2025-10-11 12:19:00,System
ORD-10051,Bonitätsprüfung automatisch,2025-10-11 12:29:00,System
ORD-10051,Übermittlung an Lager,2025-10-11 12:34:00,System Interface
ORD-10052,Bestellung eingegangen,2025-10-31 09:53:00,System
ORD-10052,Bonitätsprüfung automatisch,2025-10-31 09:57:00,System
ORD-10052,Übermittlung an Lager,2025-10-31 10:04:00,System Interface
ORD-10053,Bestellung eingegangen,2025-09-14 11:32:00,System
ORD-10053,Bonitätsprüfung automatisch,2025-09-14 11:42:00,System
ORD-10053,Bonitätsprüfung manuell,2025-09-14 18:42:00,Mitarbeiter_FiBu
ORD-10053,Bestellung freigegeben,2025-09-14 18:56:00,Mitarbeiter_FiBu
ORD-10053,Übermittlung an Lager,2025-09-14 19:01:00,System Interface
ORD-10054,Bestellung eingegangen,2025-09-26 10:56:00,System
ORD-10054,Bonitätsprüfung automatisch,2025-09-26 11:00:00,System
ORD-10054,Übermittlung an Lager,2025-09-26 11:33:00,System Interface
ORD-10055,Bestellung eingegangen,2025-10-05 18:37:00,System
ORD-10055,Bonitätsprüfung automatisch,2025-10-05 18:44:00,System
ORD-10055,Übermittlung an Lager,2025-10-05 19:34:00,System Interface
ORD-10056,Bestellung eingegangen,2025-09-20 11:42:00,System
ORD-10056,Bonitätsprüfung automatisch,2025-09-20 11:48:00,System
ORD-10056,Bonitätsprüfung manuell,2025-09-20 21:48:00,Mitarbeiter_FiBu
ORD-10056,Bestellung freigegeben,2025-09-20 22:07:00,Mitarbeiter_FiBu
ORD-10056,Übermittlung an Lager,2025-09-20 22:44:00,System Interface
ORD-10057,Bestellung eingegangen,2025-10-02 17:22:00,System
ORD-10057,Bonitätsprüfung automatisch,2025-10-02 17:24:00,System
ORD-10057,Übermittlung an Lager,2025-10-02 17:55:00,System Interface
ORD-10058,Bestellung eingegangen,2025-09-26 18:44:00,System
ORD-10058,Bonitätsprüfung automatisch,2025-09-26 18:45:00,System
ORD-10058,Übermittlung an Lager,2025-09-26 19:08:00,System Interface
ORD-10059,Bestellung eingegangen,2025-10-25 14:57:00,System
ORD-10059,Bonitätsprüfung automatisch,2025-10-25 14:59:00,System
ORD-10059,Übermittlung an Lager,2025-10-25 15:28:00,System Interface
ORD-10060,Bestellung eingegangen,2025-10-03 12:34:00,System
ORD-10060,Bonitätsprüfung automatisch,2025-10-03 12:36:00,System
ORD-10060,Übermittlung an Lager,2025-10-03 12:51:00,System Interface
ORD-10061,Bestellung eingegangen,2025-10-18 18:22:00,System
ORD-10061,Bonitätsprüfung automatisch,2025-10-18 18:27:00,System
ORD-10061,Übermittlung an Lager,2025-10-18 19:21:00,System Interface
ORD-10062,Bestellung eingegangen,2025-09-30 09:44:00,System
ORD-10062,Bonitätsprüfung automatisch,2025-09-30 09:54:00,System
ORD-10062,Übermittlung an Lager,2025-09-30 10:51:00,System Interface
ORD-10063,Bestellung eingegangen,2025-09-06 18:43:00,System
ORD-10063,Bonitätsprüfung automatisch,2025-09-06 18:46:00,System
ORD-10063,Übermittlung an Lager,2025-09-06 19:03:00,System Interface
ORD-10064,Bestellung eingegangen,2025-09-20 10:50:00,System
ORD-10064,Bonitätsprüfung automatisch,2025-09-20 10:58:00,System
ORD-10064,Bonitätsprüfung manuell,2025-09-20 15:58:00,Mitarbeiter_FiBu
ORD-10064,Bestellung freigegeben,2025-09-20 16:12:00,Mitarbeiter_FiBu
ORD-10064,Übermittlung an Lager,2025-09-20 16:36:00,System Interface
ORD-10065,Bestellung eingegangen,2025-10-31 15:00:00,System
ORD-10065,Bonitätsprüfung automatisch,2025-10-31 15:06:00,System
ORD-10065,Übermittlung an Lager,2025-10-31 15:28:00,System Interface
ORD-10066,Bestellung eingegangen,2025-09-22 15:25:00,System
ORD-10066,Bonitätsprüfung automatisch,2025-09-22 15:34:00,System
ORD-10066,Übermittlung an Lager,2025-09-22 16:06:00,System Interface
ORD-10067,Bestellung eingegangen,2025-10-14 08:30:00,System
ORD-10067,Bonitätsprüfung automatisch,2025-10-14 08:33:00,System
ORD-10067,Übermittlung an Lager,2025-10-14 08:52:00,System Interface
ORD-10068,Bestellung eingegangen,2025-10-12 10:16:00,System
ORD-10068,Bonitätsprüfung automatisch,2025-10-12 10:25:00,System
ORD-10068,Übermittlung an Lager,2025-10-12 11:05:00,System Interface
ORD-10069,Bestellung eingegangen,2025-09-12 12:55:00,System
ORD-10069,Bonitätsprüfung automatisch,2025-09-12 12:58:00,System
ORD-10069,Übermittlung an Lager,2025-09-12 13:33:00,System Interface
ORD-10070,Bestellung eingegangen,2025-10-21 18:19:00,System
ORD-10070,Bonitätsprüfung automatisch,2025-10-21 18:23:00,System
ORD-10070,Übermittlung an Lager,2025-10-21 18:43:00,System Interface
ORD-10071,Bestellung eingegangen,2025-10-28 10:44:00,System
ORD-10071,Bonitätsprüfung automatisch,2025-10-28 10:51:00,System
ORD-10071,Bonitätsprüfung manuell,2025-10-29 04:51:00,Mitarbeiter_FiBu
ORD-10071,Bestellung freigegeben,2025-10-29 05:05:00,Mitarbeiter_FiBu
ORD-10071,Übermittlung an Lager,2025-10-29 05:24:00,System Interface
ORD-10072,Bestellung eingegangen,2025-09-17 13:57:00,System
ORD-10072,Bonitätsprüfung automatisch,2025-09-17 14:04:00,System
ORD-10072,Übermittlung an Lager,2025-09-17 14:15:00,System Interface
ORD-10073,Bestellung eingegangen,2025-09-08 18:49:00,System
ORD-10073,Bonitätsprüfung automatisch,2025-09-08 18:56:00,System
ORD-10073,Bonitätsprüfung manuell,2025-09-09 06:56:00,Mitarbeiter_FiBu
ORD-10073,Bestellung freigegeben,2025-09-09 07:08:00,Mitarbeiter_FiBu
ORD-10073,Übermittlung an Lager,2025-09-09 07:53:00,System Interface
ORD-10074,Bestellung eingegangen,2025-09-25 12:48:00,System
ORD-10074,Bonitätsprüfung automatisch,2025-09-25 12:50:00,System
ORD-10074,Übermittlung an Lager,2025-09-25 12:59:00,System Interface
ORD-10075,Bestellung eingegangen,2025-10-09 17:04:00,System
ORD-10075,Bonitätsprüfung automatisch,2025-10-09 17:14:00,System
ORD-10075,Übermittlung an Lager,2025-10-09 17:42:00,System Interface
ORD-10076,Bestellung eingegangen,2025-10-29 13:16:00,System
ORD-10076,Bonitätsprüfung automatisch,2025-10-29 13:23:00,System
ORD-10076,Übermittlung an Lager,2025-10-29 13:58:00,System Interface
ORD-10077,Bestellung eingegangen,2025-09-24 12:21:00,System
ORD-10077,Bonitätsprüfung automatisch,2025-09-24 12:27:00,System
ORD-10077,Übermittlung an Lager,2025-09-24 12:35:00,System Interface
ORD-10078,Bestellung eingegangen,2025-09-23 16:30:00,System
ORD-10078,Bonitätsprüfung automatisch,2025-09-23 16:35:00,System
ORD-10078,Übermittlung an Lager,2025-09-23 16:52:00,System Interface
ORD-10079,Bestellung eingegangen,2025-10-01 18:55:00,System
ORD-10079,Bonitätsprüfung automatisch,2025-10-01 19:03:00,System
ORD-10079,Übermittlung an Lager,2025-10-01 19:38:00,System Interface
ORD-10080,Bestellung eingegangen,2025-10-01 08:25:00,System
ORD-10080,Bonitätsprüfung automatisch,2025-10-01 08:30:00,System
ORD-10080,Übermittlung an Lager,2025-10-01 09:18:00,System Interface
ORD-10081,Bestellung eingegangen,2025-10-03 18:08:00,System
ORD-10081,Bonitätsprüfung automatisch,2025-10-03 18:15:00,System
ORD-10081,Übermittlung an Lager,2025-10-03 19:02:00,System Interface
ORD-10082,Bestellung eingegangen,2025-10-07 17:13:00,System
ORD-10082,Bonitätsprüfung automatisch,2025-10-07 17:23:00,System
ORD-10082,Übermittlung an Lager,2025-10-07 17:55:00,System Interface
ORD-10083,Bestellung eingegangen,2025-09-14 13:25:00,System
ORD-10083,Bonitätsprüfung automatisch,2025-09-14 13:30:00,System
ORD-10083,Übermittlung an Lager,2025-09-14 13:52:00,System Interface
ORD-10084,Bestellung eingegangen,2025-10-11 13:48:00,System
ORD-10084,Bonitätsprüfung automatisch,2025-10-11 13:53:00,System
ORD-10084,Übermittlung an Lager,2025-10-11 14:00:00,System Interface
ORD-10085,Bestellung eingegangen,2025-10-17 09:39:00,System
ORD-10085,Bonitätsprüfung automatisch,2025-10-17 09:49:00,System
ORD-10085,Übermittlung an Lager,2025-10-17 10:09:00,System Interface
ORD-10086,Bestellung eingegangen,2025-09-27 15:36:00,System
ORD-10086,Bonitätsprüfung automatisch,2025-09-27 15:37:00,System
ORD-10086,Übermittlung an Lager,2025-09-27 15:57:00,System Interface
ORD-10087,Bestellung eingegangen,2025-09-09 09:28:00,System
ORD-10087,Bonitätsprüfung automatisch,2025-09-09 09:32:00,System
ORD-10087,Übermittlung an Lager,2025-09-09 10:23:00,System Interface
ORD-10088,Bestellung eingegangen,2025-10-11 15:32:00,System
ORD-10088,Bonitätsprüfung automatisch,2025-10-11 15:40:00,System
ORD-10088,Übermittlung an Lager,2025-10-11 15:47:00,System Interface
ORD-10089,Bestellung eingegangen,2025-09-11 13:15:00,System
ORD-10089,Bonitätsprüfung automatisch,2025-09-11 13:18:00,System
ORD-10089,Übermittlung an Lager,2025-09-11 13:27:00,System Interface
ORD-10090,Bestellung eingegangen,2025-10-06 17:56:00,System
ORD-10090,Bonitätsprüfung automatisch,2025-10-06 18:03:00,System
ORD-10090,Übermittlung an Lager,2025-10-06 18:44:00,System Interface
ORD-10091,Bestellung eingegangen,2025-10-18 09:39:00,System
ORD-10091,Bonitätsprüfung automatisch,2025-10-18 09:45:00,System
ORD-10091,Bonitätsprüfung manuell,2025-10-18 21:45:00,Mitarbeiter_FiBu
ORD-10091,Bestellung freigegeben,2025-10-18 22:09:00,Mitarbeiter_FiBu
ORD-10091,Übermittlung an Lager,2025-10-18 22:53:00,System Interface
ORD-10092,Bestellung eingegangen,2025-10-30 11:04:00,System
ORD-10092,Bonitätsprüfung automatisch,2025-10-30 11:13:00,System
ORD-10092,Übermittlung an Lager,2025-10-30 12:05:00,System Interface
ORD-10093,Bestellung eingegangen,2025-10-01 12:37:00,System
ORD-10093,Bonitätsprüfung automatisch,2025-10-01 12:45:00,System
ORD-10093,Übermittlung an Lager,2025-10-01 13:28:00,System Interface
ORD-10094,Bestellung eingegangen,2025-09-08 16:33:00,System
ORD-10094,Bonitätsprüfung automatisch,2025-09-08 16:42:00,System
ORD-10094,Übermittlung an Lager,2025-09-08 17:18:00,System Interface
ORD-10095,Bestellung eingegangen,2025-10-15 15:01:00,System
ORD-10095,Bonitätsprüfung automatisch,2025-10-15 15:03:00,System
ORD-10095,Übermittlung an Lager,2025-10-15 16:00:00,System Interface
ORD-10096,Bestellung eingegangen,2025-10-28 13:51:00,System
ORD-10096,Bonitätsprüfung automatisch,2025-10-28 14:00:00,System
ORD-10096,Übermittlung an Lager,2025-10-28 14:22:00,System Interface
ORD-10097,Bestellung eingegangen,2025-09-08 11:59:00,System
ORD-10097,Bonitätsprüfung automatisch,2025-09-08 12:05:00,System
ORD-10097,Übermittlung an Lager,2025-09-08 12:46:00,System Interface
ORD-10098,Bestellung eingegangen,2025-09-26 13:34:00,System
ORD-10098,Bonitätsprüfung automatisch,2025-09-26 13:39:00,System
ORD-10098,Übermittlung an Lager,2025-09-26 14:01:00,System Interface
ORD-10099,Bestellung eingegangen,2025-10-13 10:41:00,System
ORD-10099,Bonitätsprüfung automatisch,2025-10-13 10:42:00,System
ORD-10099,Übermittlung an Lager,2025-10-13 11:00:00,System Interface
ORD-10100,Bestellung eingegangen,2025-09-23 11:12:00,System
ORD-10100,Bonitätsprüfung automatisch,2025-09-23 11:21:00,System
ORD-10100,Übermittlung an Lager,2025-09-23 11:47:00,System Interface
ORD-10101,Bestellung eingegangen,2025-10-04 13:32:00,System
ORD-10101,Bonitätsprüfung automatisch,2025-10-04 13:33:00,System
ORD-10101,Übermittlung an Lager,2025-10-04 14:11:00,System Interface
ORD-10102,Bestellung eingegangen,2025-09-23 17:11:00,System
ORD-10102,Bonitätsprüfung automatisch,2025-09-23 17:17:00,System
ORD-10102,Bonitätsprüfung manuell,2025-09-24 17:17:00,Mitarbeiter_FiBu
ORD-10102,Bestellung freigegeben,2025-09-24 17:32:00,Mitarbeiter_FiBu
ORD-10102,Übermittlung an Lager,2025-09-24 17:37:00,System Interface
ORD-10103,Bestellung eingegangen,2025-10-19 08:51:00,System
ORD-10103,Bonitätsprüfung automatisch,2025-10-19 08:59:00,System
ORD-10103,Übermittlung an Lager,2025-10-19 09:14:00,System Interface
ORD-10104,Bestellung eingegangen,2025-10-16 17:25:00,System
ORD-10104,Bonitätsprüfung automatisch,2025-10-16 17:31:00,System
ORD-10104,Übermittlung an Lager,2025-10-16 17:56:00,System Interface
ORD-10105,Bestellung eingegangen,2025-10-12 16:41:00,System
ORD-10105,Bonitätsprüfung automatisch,2025-10-12 16:44:00,System
ORD-10105,Bonitätsprüfung manuell,2025-10-12 19:44:00,Mitarbeiter_FiBu
ORD-10105,Bestellung freigegeben,2025-10-12 19:59:00,Mitarbeiter_FiBu
ORD-10105,Übermittlung an Lager,2025-10-12 20:40:00,System Interface
ORD-10106,Bestellung eingegangen,2025-10-14 18:01:00,System
ORD-10106,Bonitätsprüfung automatisch,2025-10-14 18:02:00,System
ORD-10106,Übermittlung an Lager,2025-10-14 18:45:00,System Interface
ORD-10107,Bestellung eingegangen,2025-10-14 16:14:00,System
ORD-10107,Bonitätsprüfung automatisch,2025-10-14 16:17:00,System
ORD-10107,Übermittlung an Lager,2025-10-14 17:13:00,System Interface
ORD-10108,Bestellung eingegangen,2025-10-08 09:56:00,System
ORD-10108,Bonitätsprüfung automatisch,2025-10-08 09:57:00,System
ORD-10108,Übermittlung an Lager,2025-10-08 10:22:00,System Interface
ORD-10109,Bestellung eingegangen,2025-09-08 13:32:00,System
ORD-10109,Bonitätsprüfung automatisch,2025-09-08 13:37:00,System
ORD-10109,Übermittlung an Lager,2025-09-08 14:02:00,System Interface
ORD-10110,Bestellung eingegangen,2025-09-10 08:03:00,System
ORD-10110,Bonitätsprüfung automatisch,2025-09-10 08:10:00,System
ORD-10110,Bonitätsprüfung manuell,2025-09-11 04:10:00,Mitarbeiter_FiBu
ORD-10110,Bestellung freigegeben,2025-09-11 04:23:00,Mitarbeiter_FiBu
ORD-10110,Übermittlung an Lager,2025-09-11 05:04:00,System Interface
ORD-10111,Bestellung eingegangen,2025-09-09 18:09:00,System
ORD-10111,Bonitätsprüfung automatisch,2025-09-09 18:15:00,System
ORD-10111,Bonitätsprüfung manuell,2025-09-09 23:15:00,Mitarbeiter_FiBu
ORD-10111,Bestellung freigegeben,2025-09-09 23:38:00,Mitarbeiter_FiBu
ORD-10111,Übermittlung an Lager,2025-09-09 23:50:00,System Interface
ORD-10112,Bestellung eingegangen,2025-09-30 12:40:00,System
ORD-10112,Bonitätsprüfung automatisch,2025-09-30 12:49:00,System
ORD-10112,Übermittlung an Lager,2025-09-30 13:07:00,System Interface
ORD-10113,Bestellung eingegangen,2025-10-20 15:59:00,System
ORD-10113,Bonitätsprüfung automatisch,2025-10-20 16:03:00,System
ORD-10113,Übermittlung an Lager,2025-10-20 16:37:00,System Interface
ORD-10114,Bestellung eingegangen,2025-10-25 11:03:00,System
ORD-10114,Bonitätsprüfung automatisch,2025-10-25 11:08:00,System
ORD-10114,Übermittlung an Lager,2025-10-25 11:52:00,System Interface
ORD-10115,Bestellung eingegangen,2025-10-03 18:16:00,System
ORD-10115,Bonitätsprüfung automatisch,2025-10-03 18:18:00,System
ORD-10115,Übermittlung an Lager,2025-10-03 18:43:00,System Interface
ORD-10116,Bestellung eingegangen,2025-09-13 13:00:00,System
ORD-10116,Bonitätsprüfung automatisch,2025-09-13 13:04:00,System
ORD-10116,Übermittlung an Lager,2025-09-13 13:28:00,System Interface
ORD-10117,Bestellung eingegangen,2025-10-24 08:21:00,System
ORD-10117,Bonitätsprüfung automatisch,2025-10-24 08:27:00,System
ORD-10117,Übermittlung an Lager,2025-10-24 09:11:00,System Interface
ORD-10118,Bestellung eingegangen,2025-09-18 13:32:00,System
ORD-10118,Bonitätsprüfung automatisch,2025-09-18 13:38:00,System
ORD-10118,Übermittlung an Lager,2025-09-18 13:55:00,System Interface
ORD-10119,Bestellung eingegangen,2025-09-12 12:00:00,System
